# Glyma_ID	Pro_ele/Amb
# %15s		%f
Glyma.08G175800	0.954752885
Glyma.02G228700	0.940338417
Glyma.17G261700	0.999724222
Glyma.10G066700	1.117448534
Glyma.04G011900	1.421608459
Glyma.06G094300	1.130392061
Glyma.19G106800	1.394866538
Glyma.10G281400	1.083907738
Glyma.15G012500	1.44848891
Glyma.17G228800	1.611082474
Glyma.13G222300	1.455841206
Glyma.01G026700	0.916873786
Glyma.08G214300	1.137775857
Glyma.08G044100	1.099616101
Glyma.08G165500	0.872677388
Glyma.09G015500	1.002151543
Glyma.01G010200	0.959957865
Glyma.10G265400	0.927229156
Glyma.19G046600	0.94957769
Glyma.19G088400	0.949740937
Glyma.08G302600	0.956940573
Glyma.13G062700	1.127261434
Glyma.10G086600	1.149905172
Glyma.06G323700	1.21903295
Glyma.03G027500	1.195099966
Glyma.15G038100	1.022963841
Glyma.04G008300	0.963297043
Glyma.10G059500	1.171853129
Glyma.04G015900	0.963009904
