# Glyma_ID	Ele:Amb
# %15s	%f
Glyma.07g182300	1.043341206
Glyma.12g153000	1.04716962
Glyma.07g258500	0.824584372
Glyma.19g089100	1.135469352
Glyma.08g108900	0.670950691
Glyma.07g028500	0.846768321
Glyma.13g361400	0.827627283
Glyma.10g281400	1.121523691
Glyma.05g141400	1.339615304
Glyma.16g044900	0.812890981
Glyma.04g051200	0.792662607
Glyma.08g302600	0.903529414
Glyma.02g228700	0.721211413
Glyma.10g086600	0.856383946
Glyma.05g025300	0.90492703
Glyma.03g185800	1.000209813
Glyma.07g142700	0.942490427
Glyma.02g222400	0.839730002
Glyma.04g030300	0.849232171
Glyma.04g032600	0.955980406
Glyma.05g237000	0.794088029
Glyma.08g165400	1.171109408
Glyma.09g247900	1.834977196
Glyma.19g243000	1.152265326
Glyma.13g046200	1.541840533
Glyma.11g226900	1.012201802
Glyma.05g127800	1.124952789
Glyma.08g308600	0.74121449
