t RuBP PGA DPGA T3P FBP E4P S7P SBP ATP NADPH CO2 O2 HexP PenP GCEA GCA PGCA GCAc GOAc SERc GLYc HPRc GCEAc T3Pc FBPc HexPc F26BPc ATPc ADPc OPOPc UDPGc UTPc SUCP SUC PGAc 
0 2 2.4 0.0011 0.5 0.67 0.05 2 0.3 0.68 0.21 0.012 0.264 2.2 0.25 0.1812 0.36 0.0029 0.36 0.028 7.5 1.8 0.0035 0.1812 2.3 2 5.8 7.8e-06 0.35 0.65 0 0.57 0.75 0 0 0  
1.5004e-05 2 2.3999 0.0012428 0.50003 0.66999 0.05004 2 0.29996 0.67988 0.21 0.012 0.264 2.2 0.25001 0.18119 0.36002 0.0028875 0.35998 0.028006 7.5 1.8 0.0035023 0.1812 2.3 2 5.8 7.937e-06 0.35 0.65 0 0.57 0.75 4.3833e-08 8.801e-13 2.954e-06  
3.0007e-05 2 2.3998 0.0013844 0.50006 0.66997 0.05008 2 0.29993 0.67976 0.21 0.012 0.264 2.2 0.25001 0.18118 0.36003 0.0028751 0.35997 0.028013 7.5 1.8 0.0035046 0.18121 2.3 2 5.8 8.074e-06 0.35 0.65 0 0.57 0.75 8.7666e-08 2.7777e-12 5.9078e-06  
4.5011e-05 2 2.3996 0.0015249 0.50009 0.66996 0.05012 2 0.29989 0.67964 0.21 0.012 0.264 2.2 0.25002 0.18117 0.36005 0.0028627 0.35995 0.028019 7.5 1.8 0.0035069 0.18121 2.3 2 5.8 8.211e-06 0.35 0.65 0 0.57 0.75 1.315e-07 5.7142e-12 8.8612e-06  
0.00010216 2 2.3992 0.0020521 0.50021 0.66991 0.050272 2 0.29975 0.67918 0.21 0.012 0.264 2.2 0.25004 0.18113 0.36011 0.0028162 0.35988 0.028044 7.5 1.8 0.0035157 0.18122 2.3 2 5.8 8.7329e-06 0.35 0.65 0 0.57 0.75 2.9845e-07 2.5702e-11 2.0109e-05  
0.00015932 2 2.3987 0.0025668 0.50034 0.66986 0.050424 2 0.29962 0.67873 0.21 0.012 0.264 2.2 0.25007 0.18109 0.36017 0.0027706 0.35982 0.028068 7.5 1.8 0.0035244 0.18123 2.3 2 5.8 9.2547e-06 0.35 0.65 0 0.57001 0.75 4.6539e-07 6.044e-11 3.1352e-05  
0.00021647 2 2.3983 0.0030709 0.50048 0.6698 0.050576 2 0.29948 0.67827 0.21 0.012 0.264 2.2001 0.25009 0.18105 0.36023 0.0027259 0.35975 0.028093 7.5 1.8001 0.0035332 0.18124 2.3 2 5.8 9.7766e-06 0.35 0.65 0 0.57001 0.75 6.3232e-07 1.1019e-10 4.2591e-05  
0.00027362 2 2.3978 0.0035658 0.50063 0.66975 0.050728 2 0.29934 0.67782 0.21 0.012 0.264 2.2001 0.25012 0.18102 0.36028 0.0026822 0.35969 0.028117 7.5 1.8001 0.0035419 0.18125 2.3 2 5.8 1.0298e-05 0.35 0.65 0 0.57001 0.75 7.9924e-07 1.7506e-10 5.3825e-05  
0.00038377 2 2.3969 0.0044977 0.50095 0.66965 0.051019 2 0.29908 0.67694 0.21 0.012 0.264 2.2001 0.25016 0.18094 0.36039 0.0026004 0.35956 0.028164 7.5 1.8001 0.0035587 0.18127 2.3001 2 5.8 1.1304e-05 0.35 0.65 0 0.57001 0.75 1.1209e-06 3.427e-10 7.5462e-05  
0.00049391 2 2.3961 0.0054066 0.50128 0.66955 0.05131 1.9999 0.29882 0.67607 0.21 0.012 0.264 2.2001 0.25021 0.18087 0.36049 0.0025219 0.35944 0.028211 7.5 1.8001 0.0035754 0.18129 2.3001 2 5.8 1.231e-05 0.35 0.65 0 0.57002 0.75 1.4425e-06 5.6654e-10 9.7082e-05  
0.00060406 2 2.3952 0.0062969 0.50163 0.66945 0.051601 1.9999 0.29856 0.6752 0.21 0.012 0.264 2.2002 0.25026 0.18079 0.3606 0.0024465 0.35931 0.028258 7.4999 1.8001 0.0035921 0.18131 2.3001 2 5.8 1.3316e-05 0.35 0.65 0 0.57002 0.75 1.764e-06 8.4656e-10 0.00011868  
0.00071421 2 2.3943 0.0071718 0.50199 0.66935 0.05189 1.9999 0.29829 0.67433 0.21 0.012 0.264 2.2002 0.25031 0.18072 0.36069 0.002374 0.35919 0.028305 7.4999 1.8002 0.0036087 0.18133 2.3001 2 5.8 1.4321e-05 0.35 0.65 0 0.57002 0.75 2.0855e-06 1.1827e-09 0.00014027  
